shortName,longName
Iowa  ,Iowa  Hawkeyes
 Western Ill. ,Western Ill. Leathernecks
 Southern Ill. ,Southern Ill. Salukis
Illinois  ,Illinois  Fighting Illini
Illinois  ,Illinois  Fighting Illini
Illinois  ,Illinois  Fighting Illini
Illinois  ,Illinois  Fighting Illini
 North Dakota St. ,North Dakota St. Bison
 Missouri St. ,Missouri St. Bears
 North Texas ,North Texas Mean Green
 North Dakota St. ,North Dakota St. Bison
 UNI ,UNI Panthers
Iowa St. ,Iowa St. Cyclones
 UNI ,UNI Panthers
 Illinois St. ,Illinois St. Redbirds
 UNI ,UNI Panthers
 Southeast Mo. St. ,Southeast Mo. St. Redhawks
Kansas  ,Kansas  Jayhawks
 South Dakota St. ,South Dakota St. Jackrabbits
 Rhode Island  ,Rhode Island  Rams
 South Dakota  ,South Dakota  Coyotes
 North Dakota St. ,North Dakota St. Bison
Kansas St. ,Kansas St. Wildcats
 UTEP ,UTEP Miners
 SFA ,SFA Lumberjacks
 Missouri St. ,Missouri St. Bears
 South Dakota  ,South Dakota  Coyotes
 N.C. A&T ,N.C. A&T Aggies
Kent St. ,Kent St. Golden Flashes
 Delaware St. ,Delaware St. Hornets
 Liberty  ,Liberty  Flames
 UT Martin ,UT Martin Skyhawks
Kentucky  ,Kentucky  Wildcats
 Alabama St. ,Alabama St. Hornets
 Eastern Ky. ,Eastern Ky. Colonels
 Austin Peay ,Austin Peay Governors
 Sam Houston St. ,Sam Houston St. Bearkats
LSU ,LSU Fighting Tigers
La.-Monroe ,La.-Monroe Warhawks
 Southern U. ,Southern U. Jaguars
 Grambling ,Grambling Tigers
 Southern U. ,Southern U. Jaguars
Louisiana ,Louisiana Ragin' Cajuns
 McNeese ,McNeese Cowboys
 Northwestern St.  ,Northwestern St.  Demons
 Nicholls St. ,Nicholls St. Colonels
 Lamar University ,Lamar University Cardinals
Louisiana Tech ,Louisiana Tech Bulldogs
 Samford ,Samford Bulldogs
Louisville  ,Louisville  Cardinals
 Norfolk St. ,Norfolk St. Spartans
Marshall  ,Marshall  Thundering Herd
 Howard ,Howard Bison
Maryland  ,"Maryland  Terrapins, Terps"
 Richmond  ,Richmond  Spiders
Massachusetts  ,Massachusetts  Minutemen
 Maine  ,Maine  Black Bears
 Missouri St. ,Missouri St. Bears
Memphis  ,Memphis  Tigers
 Southeast Mo. St. ,Southeast Mo. St. Redhawks
 Austin Peay ,Austin Peay Governors
Miami (FL) ,Miami (FL) Hurricanes
 Florida A&M ,Florida A&M Rattlers
 Bethune-Cookman ,Bethune-Cookman Wildcats
Miami (OH) ,Miami (OH) RedHawks
 Eastern Ill. ,Eastern Ill. Panthers
Michigan St. ,Michigan St. Spartans
 Youngstown St. ,Youngstown St. Penguins
 Jacksonville St. ,Jacksonville St. Gamecocks
Michigan  ,Michigan  Wolverines
 Jackson St. ,Jackson St. Tigers
Middle Tenn. ,Middle Tenn. Blue Raiders
 Indiana St. ,Indiana St. Sycamores
Minnesota  ,Minnesota  Golden Gophers
 Western Ill. ,Western Ill. Leathernecks
 Alcorn ,Alcorn Braves
 Samford ,Samford Bulldogs
Mississippi St. ,Mississippi St. Bulldogs
 Delaware St. ,Delaware St. Hornets
Missouri  ,Missouri  Tigers
NC State ,NC State Wolfpack
 Presbyterian ,Presbyterian Blue Hose
 William & Mary ,William & Mary Tribe
 Delaware  ,Delaware  Blue Hens
Navy ,Navy Midshipmen
 Fordham ,Fordham Rams
 Colgate ,Colgate Raiders
 McNeese ,McNeese Cowboys
Nebraska  ,"Nebraska  Cornhuskers, Huskers"
 South Dakota St. ,South Dakota St. Jackrabbits
Nevada  ,Nevada  Wolf Pack
 Cal Poly ,Cal Poly Mustangs
 UC Davis ,UC Davis Aggies
 Mississippi Val. ,Mississippi Val. Delta Devils
New Mexico  ,New Mexico  Lobos
 South Dakota  ,South Dakota  Coyotes
New Mexico St. ,New Mexico St. Aggies
 Cal Poly ,Cal Poly Mustangs
 Abilene Christian ,Abilene Christian Wildcats
North Carolina  ,North Carolina  Tar Heels
 Delaware  ,Delaware  Blue Hens
 N.C. A&T ,N.C. A&T Aggies
 The Citadel ,The Citadel Bulldogs
 James Madison ,James Madison Dukes
 Portland St. ,Portland St. Vikings
North Texas ,North Texas Mean Green
 Bethune-Cookman ,Bethune-Cookman Wildcats
Northern Ill. ,Northern Ill. Huskies
 Murray St. ,Murray St. Racers
 Western Ill. ,Western Ill. Leathernecks
Northwestern ,Northwestern Wildcats
 Illinois St. ,Illinois St. Redbirds
 Western Ill. ,Western Ill. Leathernecks
 Eastern Ill. ,Eastern Ill. Panthers
Notre Dame ,Notre Dame Fighting Irish
Ohio ,Ohio Bobcats
 Austin Peay ,Austin Peay Governors
 Eastern Ill. ,Eastern Ill. Panthers
 Southeastern La. ,Southeastern La. Lions
Ohio St. ,Ohio St. Buckeyes
 Florida A&M ,Florida A&M Rattlers
Oklahoma  ,Oklahoma  Sooners
Oklahoma St. ,Oklahoma St. Cowboys
 Southeastern La. ,Southeastern La. Lions
 Central Ark. ,Central Ark. Bears
 Hampton  ,Hampton  Pirates
Old Dominion ,Old Dominion Monarchs
 Campbell  ,Campbell  Fighting Camels
Ole Miss ,Ole Miss Rebels
 Rhode Island  ,Rhode Island  Rams
@ Norfolk St. ,Norfolk St. Spartans
 Albany (NY) ,Albany (NY) Great Danes
 Missouri St. ,Missouri St. Bears
 Wofford ,Wofford Terriers
 Southeast Mo. St. ,Southeast Mo. St. Redhawks
 South Dakota  ,South Dakota  Coyotes
Oregon  ,Oregon  Ducks
Oregon  ,Oregon  Ducks
 UC Davis ,UC Davis Aggies
 Eastern Wash. ,Eastern Wash. Eagles
Oregon St. ,Oregon St. Beavers
 Weber St. ,Weber St. Wildcats
 Portland St. ,Portland St. Vikings
Penn St. ,Penn St. Nittany Lions
 Delaware  ,Delaware  Blue Hens
Pittsburgh  ,Pittsburgh  Panthers
 Youngstown St. ,Youngstown St. Penguins
 Villanova ,Villanova Wildcats
 Indiana St. ,Indiana St. Sycamores
Purdue ,Purdue Boilermakers
Rice ,Rice Owls
 Prairie View ,Prairie View Panthers
Rutgers ,Rutgers Scarlet Knights
SMU ,SMU Mustangs
 James Madison ,James Madison Dukes
 Montana St. ,Montana St. Bobcats
 New Hampshire  ,New Hampshire  Wildcats
 Northern Ariz. ,Northern Ariz. Lumberjacks
San Diego St. ,San Diego St. Aztecs
 Eastern Ill. ,Eastern Ill. Panthers
 San Diego  ,San Diego  Toreros
 North Dakota ,North Dakota Fighting Hawks
 Portland St. ,Portland St. Vikings
San Jose St. ,San Jose St. Spartans
 Sacramento St. ,Sacramento St. Hornets
 New Hampshire  ,New Hampshire  Wildcats
 Gardner-Webb ,Gardner-Webb Runnin' Bulldogs
South Ala. ,South Ala. Jaguars
 Southern Utah ,Southern Utah Thunderbirds
 Furman ,Furman Paladins
South Carolina  ,South Carolina  Gamecocks
 Florida A&M ,Florida A&M Rattlers
 Towson  ,Towson  Tigers
Southern California ,Southern California Trojans
South Fla. ,South Fla. Bulls
Southern Miss.  ,Southern Miss.  Golden Eagles
 Alcorn ,Alcorn Braves
 Austin Peay ,Austin Peay Governors
Stanford ,Stanford Cardinal
 Rhode Island  ,Rhode Island  Rams
 Wagner ,Wagner Seahawks
Syracuse  ,Syracuse  Orange
 Villanova ,Villanova Wildcats
 Colgate ,Colgate Raiders
 Southeastern La. ,Southeastern La. Lions
TCU ,TCU Horned Frogs
 South Dakota St. ,South Dakota St. Jackrabbits
 SFA ,SFA Lumberjacks
 Stony Brook ,Stony Brook Seawolves
 Delaware St. ,Delaware St. Hornets
Temple  ,Temple  Owls
 Fordham ,Fordham Rams
Tennessee  ,Tennessee  Volunteers
 Tennessee Tech ,Tennessee Tech Golden Eagles
 Chattanooga  ,Chattanooga  Mocs
 Western Caro. ,Western Caro. Catamounts
 Lamar University ,Lamar University Cardinals
Texas A&M ,Texas A&M Aggies
 Sam Houston St. ,Sam Houston St. Bearkats
Texas  ,Texas  Longhorns
 Incarnate Word ,Incarnate Word Cardinals
 Prairie View ,Prairie View Panthers
 Prairie View ,Prairie View Panthers
 Ark.-Pine Bluff ,Ark.-Pine Bluff Golden Lions
Texas St. ,Texas St. Bobcats
 SFA ,SFA Lumberjacks
 Sam Houston St. ,Sam Houston St. Bearkats
 New Hampshire  ,New Hampshire  Wildcats
Toledo  ,Toledo  Rockets
Texas Tech ,Texas Tech Red Raiders
 Maine  ,Maine  Black Bears
Troy ,Troy Trojans
Tulane ,Tulane Green Wave
 Southeastern La. ,Southeastern La. Lions
 Jackson St. ,Jackson St. Tigers
Tulsa  ,Tulsa  Golden Hurricane
 Furman ,Furman Paladins
UCF ,UCF Knights
UAB ,UAB Blazers
UCLA ,UCLA Bruins
UConn ,"UConn Huskies, UConn"
 Villanova ,Villanova Wildcats
 Stony Brook ,Stony Brook Seawolves
 Towson  ,Towson  Tigers
UNLV ,UNLV Rebels
 Jackson St. ,Jackson St. Tigers
 Northern Colo. ,Northern Colo. Bears
 Houston Baptist ,Houston Baptist Huskies
 Incarnate Word ,Incarnate Word Cardinals
UTEP ,UTEP Miners
UTSA ,UTSA Roadrunners
 Alabama St. ,Alabama St. Hornets
 Weber St. ,Weber St. Wildcats
Utah St. ,Utah St. Aggies
 Southern Utah ,Southern Utah Thunderbirds
 Weber St. ,Weber St. Wildcats
 Idaho St. ,Idaho St. Bengals
Utah  ,Utah  Utes
Vanderbilt ,Vanderbilt Commodores
 Tennessee St. ,Tennessee St. Tigers
 William & Mary ,William & Mary Tribe
 Richmond  ,Richmond  Spiders
 VMI ,VMI Keydets
Virginia  ,Virginia  Cavaliers
 Richmond  ,Richmond  Spiders
 William & Mary ,William & Mary Tribe
Virginia Tech ,Virginia Tech Hokies
 Delaware  ,Delaware  Blue Hens
Wake Forest ,Wake Forest Demon Deacons
 Presbyterian ,Presbyterian Blue Hose
 Elon ,Elon Phoenix
Washington  ,Washington  Huskies
 Sacramento St. ,Sacramento St. Hornets
 Eastern Wash. ,Eastern Wash. Eagles
Washington St. ,Washington St. Cougars
West Virginia  ,West Virginia  Mountaineers
 Towson  ,Towson  Tigers
 Youngstown St. ,Youngstown St. Penguins
 William & Mary ,William & Mary Tribe
Western Ky. ,Western Ky. Hilltoppers
Western Mich. ,Western Mich. Broncos
 Murray St. ,Murray St. Racers
Wisconsin ,Wisconsin Badgers
 Tennessee Tech ,Tennessee Tech Golden Eagles
Wyoming  ,Wyoming  Cowboys
 Northern Colo. ,Northern Colo. Bears
 Montana  ,Montana  Grizzlies
 North Dakota ,North Dakota Fighting Hawks
