Stat,Rank,Value,Team,Year
3rd Down Conversion Pct,19,0.472,Arizona  Wildcats,2014
4th Down Conversion Pct,98,0.400,Arizona  Wildcats,2014
3rd Down Conversion Pct Defense,61,0.393,Arizona  Wildcats,2014
4th Down Conversion Pct Defense,43,0.462,Arizona  Wildcats,2014
Red Zone Offense,T-62,0.821,Arizona  Wildcats,2014
Red Zone Defense,99,0.872,Arizona  Wildcats,2014
Net Punting,50,37.40,Arizona  Wildcats,2014
Punt Returns,77,7.22,Arizona  Wildcats,2014
Kickoff Returns,80,20.48,Arizona  Wildcats,2014
First Downs Offense,25,311,Arizona  Wildcats,2014
First Downs Defense,T-79,276,Arizona  Wildcats,2014
Fewest Penalties Per Game,8,4.00,Arizona  Wildcats,2014
Fewest Penalty Yards Per Game,18,36.77,Arizona  Wildcats,2014
Time of Possession,96,28:30,Arizona  Wildcats,2014
Total Offense,99,357.2,Arkansas  Razorbacks,2014
Rushing Offense,21,208.7,Arkansas  Razorbacks,2014
Passing Offense,114,148.5,Arkansas  Razorbacks,2014
Team Passing Efficiency,109,108.70,Arkansas  Razorbacks,2014
Scoring Offense,105,20.7,Arkansas  Razorbacks,2014
Total Defense,76,413.4,Arkansas  Razorbacks,2014
Rushing Defense,78,178.4,Arkansas  Razorbacks,2014
Passing Yards Allowed,72,235.0,Arkansas  Razorbacks,2014
Team Passing Efficiency Defense,104,150.11,Arkansas  Razorbacks,2014
Scoring Defense,88,30.8,Arkansas  Razorbacks,2014
Turnover Margin,111,-0.75,Arkansas  Razorbacks,2014
3rd Down Conversion Pct,55,0.417,Arkansas  Razorbacks,2014
4th Down Conversion Pct,74,0.467,Arkansas  Razorbacks,2014
3rd Down Conversion Pct Defense,94,0.434,Arkansas  Razorbacks,2014
4th Down Conversion Pct Defense,105,0.643,Arkansas  Razorbacks,2014
Red Zone Offense,91,0.789,Arkansas  Razorbacks,2014
Red Zone Defense,T-52,0.822,Arkansas  Razorbacks,2014
Net Punting,24,39.02,Arkansas  Razorbacks,2014
Punt Returns,71,7.44,Arkansas  Razorbacks,2014
Kickoff Returns,67,21.14,Arkansas  Razorbacks,2014
First Downs Offense,102,222,Arkansas  Razorbacks,2014
First Downs Defense,T-64,266,Arkansas  Razorbacks,2014
Fewest Penalties Per Game,12,4.08,Arkansas  Razorbacks,2014
Fewest Penalty Yards Per Game,T-23,38.42,Arkansas  Razorbacks,2014
Time of Possession,46,30:26,Arkansas  Razorbacks,2014
Total Offense,79,387.3,Army West Point Black Knights,2014
Rushing Offense,3,309.8,Army West Point Black Knights,2014
Passing Offense,123,77.6,Army West Point Black Knights,2014
Team Passing Efficiency,116,102.86,Army West Point Black Knights,2014
Scoring Offense,92,24.4,Army West Point Black Knights,2014
Total Defense,71,410.8,Army West Point Black Knights,2014
Rushing Defense,103,213.3,Army West Point Black Knights,2014
Passing Yards Allowed,14,197.5,Army West Point Black Knights,2014
Team Passing Efficiency Defense,115,160.47,Army West Point Black Knights,2014
Scoring Defense,91,31.6,Army West Point Black Knights,2014
Turnover Margin,T-70,-0.08,Army West Point Black Knights,2014
3rd Down Conversion Pct,46,0.429,Army West Point Black Knights,2014
4th Down Conversion Pct,T-57,0.500,Army West Point Black Knights,2014
3rd Down Conversion Pct Defense,98,0.441,Army West Point Black Knights,2014
4th Down Conversion Pct Defense,T-75,0.556,Army West Point Black Knights,2014
Red Zone Offense,T-25,0.878,Army West Point Black Knights,2014
Red Zone Defense,90,0.863,Army West Point Black Knights,2014
Net Punting,114,34.37,Army West Point Black Knights,2014
Punt Returns,115,3.36,Army West Point Black Knights,2014
Kickoff Returns,121,15.28,Army West Point Black Knights,2014
First Downs Offense,T-77,251,Army West Point Black Knights,2014
First Downs Defense,23,235,Army West Point Black Knights,2014
Fewest Penalties Per Game,6,3.75,Army West Point Black Knights,2014
Fewest Penalty Yards Per Game,8,32.50,Army West Point Black Knights,2014
Time of Possession,21,32:09,Army West Point Black Knights,2014
Total Offense,11,501.3,Auburn Tigers,2014
Rushing Offense,1,328.3,Auburn Tigers,2014
Passing Offense,106,173.0,Auburn Tigers,2014
Team Passing Efficiency,24,149.63,Auburn Tigers,2014
Scoring Offense,12,39.5,Auburn Tigers,2014
Total Defense,86,420.7,Auburn Tigers,2014
Rushing Defense,62,162.1,Auburn Tigers,2014
Passing Yards Allowed,100,258.6,Auburn Tigers,2014
Team Passing Efficiency Defense,63,126.88,Auburn Tigers,2014
Scoring Defense,48,24.7,Auburn Tigers,2014
Turnover Margin,T-61,0.00,Auburn Tigers,2014
3rd Down Conversion Pct,24,0.465,Auburn Tigers,2014
4th Down Conversion Pct,T-49,0.533,Auburn Tigers,2014
3rd Down Conversion Pct Defense,13,0.330,Auburn Tigers,2014
4th Down Conversion Pct Defense,44,0.464,Auburn Tigers,2014
Red Zone Offense,T-21,0.885,Auburn Tigers,2014
Red Zone Defense,10,0.731,Auburn Tigers,2014
Net Punting,9,40.54,Auburn Tigers,2014
Punt Returns,22,11.78,Auburn Tigers,2014
Kickoff Returns,27,23.40,Auburn Tigers,2014
First Downs Offense,13,334,Auburn Tigers,2014
First Downs Defense,T-101,288,Auburn Tigers,2014
Fewest Penalties Per Game,T-38,5.00,Auburn Tigers,2014
Fewest Penalty Yards Per Game,30,40.64,Auburn Tigers,2014
Time of Possession,49,30:22,Auburn Tigers,2014
Total Offense,14,493.6,BYU Cougars,2014
Rushing Offense,10,267.3,BYU Cougars,2014
Passing Offense,71,226.3,BYU Cougars,2014
Team Passing Efficiency,98,116.07,BYU Cougars,2014
Scoring Offense,55,30.2,BYU Cougars,2014
Total Defense,47,378.8,BYU Cougars,2014
Rushing Defense,56,159.9,BYU Cougars,2014
Passing Yards Allowed,46,218.9,BYU Cougars,2014
Team Passing Efficiency Defense,16,113.22,BYU Cougars,2014
Scoring Defense,22,22.1,BYU Cougars,2014
Turnover Margin,T-48,0.15,BYU Cougars,2014
3rd Down Conversion Pct,85,0.377,BYU Cougars,2014
4th Down Conversion Pct,T-53,0.524,BYU Cougars,2014
3rd Down Conversion Pct Defense,33,0.361,BYU Cougars,2014
4th Down Conversion Pct Defense,14,0.348,BYU Cougars,2014
Red Zone Offense,62,0.821,BYU Cougars,2014
Red Zone Defense,43,0.809,BYU Cougars,2014
Net Punting,107,34.56,BYU Cougars,2014
Punt Returns,45,9.31,BYU Cougars,2014
Kickoff Returns,11,24.73,BYU Cougars,2014
First Downs Offense,17,325,BYU Cougars,2014
First Downs Defense,61,263,BYU Cougars,2014
Fewest Penalties Per Game,117,7.85,BYU Cougars,2014
Fewest Penalty Yards Per Game,113,66.38,BYU Cougars,2014
Time of Possession,105,27:47,BYU Cougars,2014
Total Offense,19,477.1,Ball St. Cardinals,2014
Rushing Offense,79,152.9,Ball St. Cardinals,2014
Passing Offense,12,324.2,Ball St. Cardinals,2014
Team Passing Efficiency,18,152.35,Ball St. Cardinals,2014
Scoring Offense,15,38.5,Ball St. Cardinals,2014
Total Defense,77,413.8,Ball St. Cardinals,2014
Rushing Defense,92,195.3,Ball St. Cardinals,2014
Passing Yards Allowed,T-44,218.5,Ball St. Cardinals,2014
Team Passing Efficiency Defense,41,120.98,Ball St. Cardinals,2014
Scoring Defense,47,24.7,Ball St. Cardinals,2014
Turnover Margin,T-12,0.92,Ball St. Cardinals,2014
3rd Down Conversion Pct,33,0.447,Ball St. Cardinals,2014
4th Down Conversion Pct,107,0.357,Ball St. Cardinals,2014
3rd Down Conversion Pct Defense,60,0.393,Ball St. Cardinals,2014
4th Down Conversion Pct Defense,98,0.613,Ball St. Cardinals,2014
Red Zone Offense,9,0.909,Ball St. Cardinals,2014
Red Zone Defense,20,0.756,Ball St. Cardinals,2014
Net Punting,54,37.24,Ball St. Cardinals,2014
Punt Returns,57,8.40,Ball St. Cardinals,2014
Kickoff Returns,79,20.57,Ball St. Cardinals,2014
First Downs Offense,14,329,Ball St. Cardinals,2014
First Downs Defense,T-83,280,Ball St. Cardinals,2014
Fewest Penalties Per Game,7,3.77,Ball St. Cardinals,2014
Fewest Penalty Yards Per Game,5,31.08,Ball St. Cardinals,2014
Time of Possession,89,28:49,Ball St. Cardinals,2014
Total Offense,1,618.8,Baylor Bears,2014
Rushing Offense,13,259.7,Baylor Bears,2014
Passing Offense,5,359.1,Baylor Bears,2014
Team Passing Efficiency,2,172.46,Baylor Bears,2014
Scoring Offense,1,52.4,Baylor Bears,2014
Total Defense,28,360.3,Baylor Bears,2014
Rushing Defense,38,145.4,Baylor Bears,2014
Passing Yards Allowed,34,214.9,Baylor Bears,2014
Team Passing Efficiency Defense,12,110.14,Baylor Bears,2014
Scoring Defense,36,23.5,Baylor Bears,2014
Turnover Margin,T-8,1.00,Baylor Bears,2014
3rd Down Conversion Pct,T-20,0.470,Baylor Bears,2014
4th Down Conversion Pct,56,0.520,Baylor Bears,2014
3rd Down Conversion Pct Defense,19,0.339,Baylor Bears,2014
4th Down Conversion Pct Defense,2,0.250,Baylor Bears,2014
Red Zone Offense,66,0.821,Baylor Bears,2014
Red Zone Defense,22,0.762,Baylor Bears,2014
Net Punting,29,38.43,Baylor Bears,2014
Punt Returns,55,8.50,Baylor Bears,2014
Kickoff Returns,53,22.00,Baylor Bears,2014
First Downs Offense,1,372,Baylor Bears,2014
First Downs Defense,28,242,Baylor Bears,2014
Fewest Penalties Per Game,123,9.23,Baylor Bears,2014
Fewest Penalty Yards Per Game,123,82.31,Baylor Bears,2014
Time of Possession,112,27:17,Baylor Bears,2014
Total Offense,20,476.0,Boise St. Broncos,2014
Rushing Offense,33,198.3,Boise St. Broncos,2014
Passing Offense,27,277.7,Boise St. Broncos,2014
Team Passing Efficiency,20,150.78,Boise St. Broncos,2014
Scoring Offense,19,37.5,Boise St. Broncos,2014
Total Defense,75,413.4,Boise St. Broncos,2014
Rushing Defense,64,164.2,Boise St. Broncos,2014
Passing Yards Allowed,88,249.2,Boise St. Broncos,2014
Team Passing Efficiency Defense,73,129.73,Boise St. Broncos,2014
Scoring Defense,T-50,24.8,Boise St. Broncos,2014
Turnover Margin,T-42,0.23,Boise St. Broncos,2014
3rd Down Conversion Pct,18,0.473,Boise St. Broncos,2014
4th Down Conversion Pct,55,0.522,Boise St. Broncos,2014
3rd Down Conversion Pct Defense,86,0.418,Boise St. Broncos,2014
4th Down Conversion Pct Defense,75,0.556,Boise St. Broncos,2014
Red Zone Offense,15,0.897,Boise St. Broncos,2014
Red Zone Defense,T-59,0.827,Boise St. Broncos,2014
Net Punting,14,39.62,Boise St. Broncos,2014
Punt Returns,2,15.70,Boise St. Broncos,2014
Kickoff Returns,23,23.69,Boise St. Broncos,2014
First Downs Offense,T-15,327,Boise St. Broncos,2014
First Downs Defense,110,295,Boise St. Broncos,2014
Fewest Penalties Per Game,14,4.15,Boise St. Broncos,2014
Fewest Penalty Yards Per Game,20,37.62,Boise St. Broncos,2014
Time of Possession,99,28:23,Boise St. Broncos,2014
Total Offense,92,367.2,Boston College Eagles,2014
Rushing Offense,20,212.5,Boston College Eagles,2014
Passing Offense,112,154.8,Boston College Eagles,2014
Team Passing Efficiency,39,139.22,Boston College Eagles,2014
Scoring Offense,T-70,27.7,Boston College Eagles,2014
Total Defense,92,429.0,Boston College Eagles,2014
Rushing Defense,58,160.6,Boston College Eagles,2014
Passing Yards Allowed,111,268.4,Boston College Eagles,2014
Team Passing Efficiency Defense,107,152.22,Boston College Eagles,2014
Scoring Defense,77,28.9,Boston College Eagles,2014
Turnover Margin,42,0.23,Boston College Eagles,2014
3rd Down Conversion Pct,99,0.347,Boston College Eagles,2014
4th Down Conversion Pct,40,0.556,Boston College Eagles,2014
3rd Down Conversion Pct Defense,89,0.423,Boston College Eagles,2014
4th Down Conversion Pct Defense,T-53,0.500,Boston College Eagles,2014
Red Zone Offense,2,0.970,Boston College Eagles,2014
Red Zone Defense,30,0.783,Boston College Eagles,2014
Net Punting,65,36.74,Boston College Eagles,2014
Punt Returns,40,10.21,Boston College Eagles,2014
Kickoff Returns,84,20.13,Boston College Eagles,2014
First Downs Offense,T-109,212,Boston College Eagles,2014
First Downs Defense,82,279,Boston College Eagles,2014
Fewest Penalties Per Game,4,3.62,Boston College Eagles,2014
Fewest Penalty Yards Per Game,4,30.69,Boston College Eagles,2014
Time of Possession,81,29:14,Boston College Eagles,2014
Total Offense,29,459.4,Bowling Green  Falcons,2014
Rushing Offense,39,193.4,Bowling Green  Falcons,2014
Passing Offense,31,266.1,Bowling Green  Falcons,2014
Team Passing Efficiency,9,159.16,Bowling Green  Falcons,2014
Scoring Offense,28,34.8,Bowling Green  Falcons,2014
Total Defense,10,321.4,Bowling Green  Falcons,2014
Rushing Defense,46,150.6,Bowling Green  Falcons,2014
Passing Yards Allowed,6,170.9,Bowling Green  Falcons,2014
Team Passing Efficiency Defense,9,107.40,Bowling Green  Falcons,2014
Scoring Defense,5,15.9,Bowling Green  Falcons,2014
Turnover Margin,19,0.71,Bowling Green  Falcons,2014
3rd Down Conversion Pct,28,0.455,Bowling Green  Falcons,2014
4th Down Conversion Pct,T-76,0.455,Bowling Green  Falcons,2014
3rd Down Conversion Pct Defense,29,0.353,Bowling Green  Falcons,2014
4th Down Conversion Pct Defense,T-14,0.348,Bowling Green  Falcons,2014
Red Zone Offense,46,0.852,Bowling Green  Falcons,2014
Red Zone Defense,3,0.647,Bowling Green  Falcons,2014
Net Punting,57,37.10,Bowling Green  Falcons,2014
Punt Returns,4,14.33,Bowling Green  Falcons,2014
Kickoff Returns,14,24.20,Bowling Green  Falcons,2014
First Downs Offense,T-19,323,Bowling Green  Falcons,2014
First Downs Defense,27,241,Bowling Green  Falcons,2014
Fewest Penalties Per Game,T-47,5.21,Bowling Green  Falcons,2014
Fewest Penalty Yards Per Game,53,45.21,Bowling Green  Falcons,2014
Time of Possession,1,34:03,Bowling Green  Falcons,2014
Total Offense,77,394.7,Buffalo  Bulls,2014
Rushing Offense,67,167.4,Buffalo  Bulls,2014
Passing Offense,68,227.3,Buffalo  Bulls,2014
Team Passing Efficiency,59,130.61,Buffalo  Bulls,2014
Scoring Offense,54,30.3,Buffalo  Bulls,2014
Total Defense,49,382.8,Buffalo  Bulls,2014
Rushing Defense,67,166.6,Buffalo  Bulls,2014
Passing Yards Allowed,38,216.2,Buffalo  Bulls,2014
Team Passing Efficiency Defense,33,119.40,Buffalo  Bulls,2014
Scoring Defense,T-40,24.4,Buffalo  Bulls,2014
Turnover Margin,6,1.08,Buffalo  Bulls,2014
3rd Down Conversion Pct,61,0.401,Buffalo  Bulls,2014
4th Down Conversion Pct,T-72,0.471,Buffalo  Bulls,2014
3rd Down Conversion Pct Defense,25,0.348,Buffalo  Bulls,2014
4th Down Conversion Pct Defense,1,0.222,Buffalo  Bulls,2014
Red Zone Offense,32,0.872,Buffalo  Bulls,2014
Red Zone Defense,8,0.714,Buffalo  Bulls,2014
Net Punting,84,36.03,Buffalo  Bulls,2014
Punt Returns,94,6.00,Buffalo  Bulls,2014
Kickoff Returns,51,22.04,Buffalo  Bulls,2014
First Downs Offense,58,276,Buffalo  Bulls,2014
First Downs Defense,34,246,Buffalo  Bulls,2014
Fewest Penalties Per Game,79,5.92,Buffalo  Bulls,2014
Fewest Penalty Yards Per Game,105,61.38,Buffalo  Bulls,2014
Time of Possession,32,31:32,Buffalo  Bulls,2014
Total Offense,34,453.6,California  Golden Bears,2014
Rushing Offense,107,122.2,California  Golden Bears,2014
Passing Offense,10,331.4,California  Golden Bears,2014
Team Passing Efficiency,91,120.24,California  Golden Bears,2014
Scoring Offense,96,23.0,California  Golden Bears,2014
Total Defense,122,529.6,California  Golden Bears,2014
Rushing Defense,86,188.6,California  Golden Bears,2014
Passing Yards Allowed,123,341.0,California  Golden Bears,2014
Team Passing Efficiency Defense,118,165.44,California  Golden Bears,2014
Scoring Defense,122,45.9,California  Golden Bears,2014
Turnover Margin,122,-1.25,California  Golden Bears,2014
3rd Down Conversion Pct,106,0.338,California  Golden Bears,2014
4th Down Conversion Pct,91,0.421,California  Golden Bears,2014
3rd Down Conversion Pct Defense,82,0.414,California  Golden Bears,2014
4th Down Conversion Pct Defense,T-108,0.667,California  Golden Bears,2014
Red Zone Offense,115,0.721,California  Golden Bears,2014
Red Zone Defense,T-92,0.865,California  Golden Bears,2014
Net Punting,109,34.55,California  Golden Bears,2014
Punt Returns,123,2.71,California  Golden Bears,2014
Kickoff Returns,85,20.11,California  Golden Bears,2014
First Downs Offense,T-39,291,California  Golden Bears,2014
First Downs Defense,T-113,297,California  Golden Bears,2014
Fewest Penalties Per Game,105,7.08,California  Golden Bears,2014
Fewest Penalty Yards Per Game,114,67.58,California  Golden Bears,2014
Time of Possession,78,29:16,California  Golden Bears,2014
Total Offense,23,472.1,Cincinnati  Bearcats,2014
Rushing Offense,66,168.5,Cincinnati  Bearcats,2014
Passing Offense,18,303.6,Cincinnati  Bearcats,2014
Team Passing Efficiency,25,149.46,Cincinnati  Bearcats,2014
Scoring Offense,47,32.1,Cincinnati  Bearcats,2014
Total Defense,9,315.6,Cincinnati  Bearcats,2014
Rushing Defense,6,104.5,Cincinnati  Bearcats,2014
Passing Yards Allowed,29,211.2,Cincinnati  Bearcats,2014
Team Passing Efficiency Defense,25,116.75,Cincinnati  Bearcats,2014
Scoring Defense,14,21.0,Cincinnati  Bearcats,2014
Turnover Margin,T-102,-0.54,Cincinnati  Bearcats,2014
3rd Down Conversion Pct,15,0.484,Cincinnati  Bearcats,2014
4th Down Conversion Pct,70,0.474,Cincinnati  Bearcats,2014
3rd Down Conversion Pct Defense,14,0.331,Cincinnati  Bearcats,2014
4th Down Conversion Pct Defense,72,0.545,Cincinnati  Bearcats,2014
Red Zone Offense,111,0.737,Cincinnati  Bearcats,2014
Red Zone Defense,23,0.765,Cincinnati  Bearcats,2014
Net Punting,121,33.02,Cincinnati  Bearcats,2014
Punt Returns,98,5.59,Cincinnati  Bearcats,2014
Kickoff Returns,63,21.55,Cincinnati  Bearcats,2014
First Downs Offense,24,315,Cincinnati  Bearcats,2014
First Downs Defense,14,230,Cincinnati  Bearcats,2014
Fewest Penalties Per Game,83,6.15,Cincinnati  Bearcats,2014
Fewest Penalty Yards Per Game,97,57.85,Cincinnati  Bearcats,2014
Time of Possession,35,31:17,Cincinnati  Bearcats,2014
Total Offense,10,507.7,Clemson Tigers,2014
Rushing Offense,56,174.6,Clemson Tigers,2014
Passing Offense,9,333.1,Clemson Tigers,2014
Team Passing Efficiency,8,164.18,Clemson Tigers,2014
Scoring Offense,T-8,40.2,Clemson Tigers,2014
Total Defense,25,356.7,Clemson Tigers,2014
Rushing Defense,52,155.7,Clemson Tigers,2014
Passing Yards Allowed,16,201.0,Clemson Tigers,2014
Team Passing Efficiency Defense,19,114.20,Clemson Tigers,2014
Scoring Defense,24,22.2,Clemson Tigers,2014
Turnover Margin,29,0.46,Clemson Tigers,2014
3rd Down Conversion Pct,34,0.447,Clemson Tigers,2014
4th Down Conversion Pct,34,0.577,Clemson Tigers,2014
3rd Down Conversion Pct Defense,5,0.308,Clemson Tigers,2014
4th Down Conversion Pct Defense,97,0.609,Clemson Tigers,2014
Red Zone Offense,50,0.850,Clemson Tigers,2014
Red Zone Defense,T-48,0.818,Clemson Tigers,2014
Net Punting,43,37.70,Clemson Tigers,2014
Punt Returns,58,8.34,Clemson Tigers,2014
Kickoff Returns,105,18.79,Clemson Tigers,2014
First Downs Offense,15,327,Clemson Tigers,2014
First Downs Defense,22,234,Clemson Tigers,2014
Fewest Penalties Per Game,T-66,5.62,Clemson Tigers,2014
Fewest Penalty Yards Per Game,77,50.00,Clemson Tigers,2014
Time of Possession,110,27:17,Clemson Tigers,2014
Total Offense,87,369.9,Colorado  Buffaloes,2014
Rushing Offense,108,120.8,Colorado  Buffaloes,2014
Passing Offense,47,249.1,Colorado  Buffaloes,2014
Team Passing Efficiency,70,127.83,Colorado  Buffaloes,2014
Scoring Offense,86,25.4,Colorado  Buffaloes,2014
Total Defense,106,468.0,Colorado  Buffaloes,2014
Rushing Defense,101,208.5,Colorado  Buffaloes,2014
Passing Yards Allowed,102,259.5,Colorado  Buffaloes,2014
Team Passing Efficiency Defense,87,135.83,Colorado  Buffaloes,2014
Scoring Defense,112,38.3,Colorado  Buffaloes,2014
Turnover Margin,T-79,-0.25,Colorado  Buffaloes,2014
3rd Down Conversion Pct,107,0.337,Colorado  Buffaloes,2014
4th Down Conversion Pct,T-117,0.286,Colorado  Buffaloes,2014
3rd Down Conversion Pct Defense,58,0.388,Colorado  Buffaloes,2014
4th Down Conversion Pct Defense,T-95,0.600,Colorado  Buffaloes,2014
Red Zone Offense,69,0.813,Colorado  Buffaloes,2014
Red Zone Defense,61,0.828,Colorado  Buffaloes,2014
Net Punting,87,35.99,Colorado  Buffaloes,2014
Punt Returns,103,5.00,Colorado  Buffaloes,2014
Kickoff Returns,43,22.60,Colorado  Buffaloes,2014
First Downs Offense,T-94,233,Colorado  Buffaloes,2014
First Downs Defense,T-74,271,Colorado  Buffaloes,2014
Fewest Penalties Per Game,19,4.33,Colorado  Buffaloes,2014
Fewest Penalty Yards Per Game,23,38.42,Colorado  Buffaloes,2014
Time of Possession,90,28:49,Colorado  Buffaloes,2014
Total Offense,24,470.8,Colorado St. Rams,2014
Rushing Offense,27,204.4,Colorado St. Rams,2014
Passing Offense,30,266.4,Colorado St. Rams,2014
Team Passing Efficiency,38,139.28,Colorado St. Rams,2014
Scoring Offense,22,36.2,Colorado St. Rams,2014
Total Defense,80,416.3,Colorado St. Rams,2014
Rushing Defense,30,140.6,Colorado St. Rams,2014
Passing Yards Allowed,114,275.7,Colorado St. Rams,2014
Team Passing Efficiency Defense,102,146.98,Colorado St. Rams,2014
Scoring Defense,81,29.8,Colorado St. Rams,2014
Turnover Margin,53,0.14,Colorado St. Rams,2014
3rd Down Conversion Pct,44,0.432,Colorado St. Rams,2014
4th Down Conversion Pct,T-26,0.600,Colorado St. Rams,2014
3rd Down Conversion Pct Defense,45,0.372,Colorado St. Rams,2014
4th Down Conversion Pct Defense,52,0.483,Colorado St. Rams,2014
Red Zone Offense,27,0.875,Colorado St. Rams,2014
Red Zone Defense,T-56,0.826,Colorado St. Rams,2014
Net Punting,101,35.00,Colorado St. Rams,2014
Punt Returns,28,11.43,Colorado St. Rams,2014
Kickoff Returns,18,23.80,Colorado St. Rams,2014
First Downs Offense,21,321,Colorado St. Rams,2014
First Downs Defense,105,291,Colorado St. Rams,2014
Fewest Penalties Per Game,59,5.43,Colorado St. Rams,2014
Fewest Penalty Yards Per Game,69,48.29,Colorado St. Rams,2014
Time of Possession,41,30:49,Colorado St. Rams,2014
Total Offense,47,426.1,Duke Blue Devils,2014
Rushing Offense,54,178.0,Duke Blue Devils,2014
Passing Offense,50,248.1,Duke Blue Devils,2014
Team Passing Efficiency,47,135.09,Duke Blue Devils,2014
